Date,County,Date in Selected Range Filter,Month Name,Product Detail Selector,Month Year,Tooltip Date,Sales,Sales Detail
11/1/2016,Douglas,TRUE,November,Total,11/1/2016,Nov-16,68258.38,68258.38
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,22124.52,22124.52
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,15644.1,15644.1
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,3363.78,3363.78
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,59309.06,59309.06
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,2544.5,2544.5
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,1756.73,1756.73
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,433.54,433.54
11/1/2016,Hood River,TRUE,November,Total,11/1/2016,Nov-16,3555.39,3555.39
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,60,60
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,23277.43,23277.43
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,36.75,36.75
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,15586.39,15586.39
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,11674.63,11674.63
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,120361.42,120361.42
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,11153.21,11153.21
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,28,28
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,45,45
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,6922.85,6922.85
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,3544.42,3544.42
11/1/2016,Jackson,TRUE,November,Total,11/1/2016,Nov-16,22859.31,22859.31
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,21122.34,21122.34
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,11682.65,11682.65
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,1217.79,1217.79
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,165038.15,165038.15
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,3361.23,3361.23
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,1524.6,1524.6
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,323.2,323.2
11/1/2016,Lane,TRUE,November,Total,11/1/2016,Nov-16,13693.31,13693.31
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,23399.82,23399.82
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,8068.89,8068.89
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,3153.94,3153.94
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,64958.16,64958.16
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,2283.98,2283.98
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,151.5,151.5
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,182.6,182.6
11/1/2016,Lincoln,TRUE,November,Total,11/1/2016,Nov-16,4599.71,4599.71
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,123.5,123.5
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,36910.31,36910.31
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,8072.32,8072.32
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,4568.52,4568.52
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,252676.95,252676.95
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,4899.36,4899.36
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,19.5,19.5
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,1430.94,1430.94
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,502.25,502.25
11/1/2016,Marion,TRUE,November,Total,11/1/2016,Nov-16,28192.14,28192.14
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,320934.74,320934.74
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,72553.69,72553.69
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,7230.99,7230.99
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,154698.69,154698.69
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,1739.7,1739.7
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,64783.66,64783.66
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,1246698.78,1246698.78
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,51622.13,51622.13
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,29877.02,29877.02
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,28419.16,28419.16
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,1779.78,1779.78
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,13790.06,13790.06
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,492.7,492.7
11/1/2016,Multnomah,TRUE,November,Total,11/1/2016,Nov-16,136125.4,136125.4
11/1/2016,Tillamook,TRUE,November,Total,11/1/2016,Nov-16,15261.05,15261.05
11/1/2016,Tillamook,TRUE,November,Total,11/1/2016,Nov-16,1383.47,1383.47
11/1/2016,Tillamook,TRUE,November,Total,11/1/2016,Nov-16,184,184
11/1/2016,Tillamook,TRUE,November,Total,11/1/2016,Nov-16,51758.11,51758.11
11/1/2016,Tillamook,TRUE,November,Total,11/1/2016,Nov-16,4605.38,4605.38
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,74363.24,74363.24
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,40963.17,40963.17
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,18261.15,18261.15
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,374399.28,374399.28
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,10385.48,10385.48
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,3820.04,3820.04
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,1262.25,1262.25
11/1/2016,Washington,TRUE,November,Total,11/1/2016,Nov-16,31402.45,31402.45
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,8504.05,8504.05
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,13569.61,13569.61
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,1626.54,1626.54
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,53482.11,53482.11
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,791.31,791.31
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,771.31,771.31
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,147,147
11/1/2016,Yamhill,TRUE,November,Total,11/1/2016,Nov-16,4209.69,4209.69
12/1/2016,Baker,TRUE,December,Total,12/1/2016,Dec-16,15528.06,15528.06
12/1/2016,Baker,TRUE,December,Total,12/1/2016,Dec-16,6634.99,6634.99
12/1/2016,Baker,TRUE,December,Total,12/1/2016,Dec-16,550,550
12/1/2016,Baker,TRUE,December,Total,12/1/2016,Dec-16,203565.86,203565.86
12/1/2016,Baker,TRUE,December,Total,12/1/2016,Dec-16,340,340
12/1/2016,Baker,TRUE,December,Total,12/1/2016,Dec-16,50,50
12/1/2016,Baker,TRUE,December,Total,12/1/2016,Dec-16,1394.3,1394.3
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,3265.18,3265.18
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,1070.8,1070.8
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,3321.49,3321.49
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,597.48,597.48
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,34.5,34.5
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,1671.89,1671.89
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,36854.87,36854.87
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,44,44
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,1350.57,1350.57
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,138,138
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,766.47,766.47
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,195,195
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,12,12
12/1/2016,Clackamas,TRUE,December,Total,12/1/2016,Dec-16,5437.59,5437.59
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,850,850
12/1/2016,Clatsop,TRUE,December,Total,12/1/2016,Dec-16,8608,8608
