Date,Product Type,County,Month Name,Month Year,Tooltip Date,Market Share County,Sales,Sales Detail
11/1/2016,Edible/Tincture,Multnomah,November,11/1/2016,November 2016,9.02,1779.78,1779.78
11/1/2016,Other,Multnomah,November,11/1/2016,November 2016,3.79,13790.06,13790.06
11/1/2016,Other,Multnomah,November,11/1/2016,November 2016,3.79,492.7,492.7
11/1/2016,Usable MJ,Multnomah,November,11/1/2016,November 2016,64.9,136125.4,136125.4
11/1/2016,Concentrate/Extract,Tillamook,November,11/1/2016,November 2016,20.85,15261.05,15261.05
11/1/2016,Edible/Tincture,Tillamook,November,11/1/2016,November 2016,1.89,1383.47,1383.47
11/1/2016,Other,Tillamook,November,11/1/2016,November 2016,0.25,184,184
11/1/2016,Usable MJ,Tillamook,November,11/1/2016,November 2016,77.01,51758.11,51758.11
11/1/2016,Usable MJ,Tillamook,November,11/1/2016,November 2016,77.01,4605.38,4605.38
11/1/2016,Concentrate/Extract,Washington,November,11/1/2016,November 2016,15.27,74363.24,74363.24
11/1/2016,Edible/Tincture,Washington,November,11/1/2016,November 2016,8.07,40963.17,40963.17
11/1/2016,Other,Washington,November,11/1/2016,November 2016,3.52,18261.15,18261.15
11/1/2016,Usable MJ,Washington,November,11/1/2016,November 2016,73.14,374399.28,374399.28
11/1/2016,Concentrate/Extract,Washington,November,11/1/2016,November 2016,15.27,10385.48,10385.48
11/1/2016,Edible/Tincture,Washington,November,11/1/2016,November 2016,8.07,3820.04,3820.04
11/1/2016,Other,Washington,November,11/1/2016,November 2016,3.52,1262.25,1262.25
11/1/2016,Usable MJ,Washington,November,11/1/2016,November 2016,73.14,31402.45,31402.45
11/1/2016,Concentrate/Extract,Yamhill,November,11/1/2016,November 2016,11.19,8504.05,8504.05
11/1/2016,Edible/Tincture,Yamhill,November,11/1/2016,November 2016,17.26,13569.61,13569.61
11/1/2016,Other,Yamhill,November,11/1/2016,November 2016,2.13,1626.54,1626.54
11/1/2016,Usable MJ,Yamhill,November,11/1/2016,November 2016,69.42,53482.11,53482.11
11/1/2016,Concentrate/Extract,Yamhill,November,11/1/2016,November 2016,11.19,791.31,791.31
11/1/2016,Edible/Tincture,Yamhill,November,11/1/2016,November 2016,17.26,771.31,771.31
11/1/2016,Other,Yamhill,November,11/1/2016,November 2016,2.13,147,147
11/1/2016,Usable MJ,Yamhill,November,11/1/2016,November 2016,69.42,4209.69,4209.69
12/1/2016,Concentrate/Extract,Baker,December,12/1/2016,December 2016,6.96,15528.06,15528.06
12/1/2016,Edible/Tincture,Baker,December,12/1/2016,December 2016,2.93,6634.99,6634.99
12/1/2016,Other,Baker,December,12/1/2016,December 2016,0.24,550,550
